Entity,Christians,Muslims,Unaffiliated,Hindus,Buddhists,folkReligions,otherReligions,Jews,Population,Temperature,GII,HDI,POL,INTERNET,PRECIPITATION
Dominican Republic,0.8399136176713212,0.00048049978127649956,0.1037879527557239,0.00048049978127649956,0.00048049978127649956,0.008648996062976992,0.0009609995625529991,0.00048049978127649956,10405832,24.55,0.47,0.729,0.5,0.6499,1410.0
Colombia,0.9085366536920587,0.0002122253337285818,0.06472872678721744,0.0001061126668642909,0.0001061126668642909,0.007852337347957527,0.0008489013349143272,0.0001061126668642909,47119728,24.5,0.39300001,0.742,0.5,0.6226,3240.0
Vietnam,0.0777729826810957,0.0017355198366771703,0.2824558534192095,5.423499489616157e-05,0.15597984532136067,0.43116820942448447,0.00379644964273131,5.423499489616157e-05,92191398,24.45,0.33700001,0.684,0.25,0.4957,1821.0
El Salvador,0.8762545606161128,0.0008024309163151217,0.10913060461885656,0.0008024309163151217,0.0008024309163151217,0.00481458549789073,0.0032097236652604867,0.0008024309163151217,6231066,24.45,0.384,0.674,0.5,0.3125,1784.0
Fiji,0.5996511120802442,0.054513737461840385,0.005451373746184038,0.26166593981683384,0.005451373746184038,0.005451373746184038,0.005451373746184038,0.005451373746184038,917200,24.4,0.35800001,0.738,0.25,0.4997,2592.0
Yemen,0.0014026944708764684,0.835655231024656,0.0007013472354382342,0.005260104265786756,0.00017533680885955855,0.00017533680885955855,0.00017533680885955855,0.00017533680885955855,28516545,23.85,0.76700002,0.483,0.25,0.2672,167.0
Mozambique,0.4939790068607947,0.1564639388246861,0.1564639388246861,0.00018626659383891203,0.00018626659383891203,0.06407570828058574,0.00018626659383891203,0.00018626659383891203,26843246,23.8,0.574,0.432,0.25,0.2077,1032.0
India,0.023532230865577777,0.13319560162270494,0.0006576627321892922,0.7360909028383027,0.006992391118104544,0.004422214923341793,0.02083354586107689,7.55934174930221e-06,1322866505,23.65,0.52999997,0.627,0.5,0.3445,1083.0
Paraguay,1.0116624446620643,0.0008093299557296515,0.01133061938021512,0.0008093299557296515,0.0008093299557296515,0.01780525902605233,0.001618659911459303,0.0008093299557296515,6177950,23.55,0.46399999,0.702,0.5,0.6108,1130.0
Honduras,0.7165524145718357,0.0010759045263841378,0.08499645758434687,0.0005379522631920689,0.0005379522631920689,0.008607236211073102,0.004303618105536551,0.0005379522631920689,9294505,23.5,0.461,0.609,0.25,0.3214,1976.0
Guatemala,0.8555658055408292,0.0003124783804020559,0.0368724488874426,0.0003124783804020559,0.0003124783804020559,0.004999654086432895,0.0006249567608041118,0.0003124783804020559,16001107,23.45,0.49399999,0.645,0.5,0.407,1996.0
Laos,0.013259826747103722,0.0007366570415057623,0.007366570415057624,0.0007366570415057623,0.6040587740347251,0.28140298985520124,0.007366570415057624,0.0007366570415057623,6787419,22.8,0.46799999,0.593,0.0,0.2551,1834.0
Uganda,0.7732669295027109,0.10246187057592857,0.0045360723952885046,0.0026682778795814733,0.00013341389397907366,0.007738005850786272,0.0010673111518325893,0.00013341389397907366,37477356,22.8,0.52200001,0.505,0.25,0.2371,1180.0
Algeria,0.0015173296495266918,0.8782809788010334,0.01669062614479361,0.00012644413746055764,0.00012644413746055764,0.0002528882749211153,0.00012644413746055764,0.00012644413746055764,39543154,22.5,0.42899999,0.749,0.25,0.4769,89.0
Mauritius,0.3247875541409253,0.17012681407381802,0.0038665185016776822,0.48718133121138796,0.0038665185016776822,0.0038665185016776822,0.0038665185016776822,0.0038665185016776822,1293153,22.4,0.38,0.782,0.75,0.5556,2041.0
Tanzania,0.5241438968743647,0.3001361384788937,0.012370861763556175,0.0009516047510427828,9.516047510427827e-05,0.015225676016684524,0.0005709628506256697,9.516047510427827e-05,52542823,22.35,0.54400003,0.528,0.25,0.16,1071.0
Ethiopia,0.5081393293253725,0.27988162022376967,0.0004879386684514813,4.8793866845148124e-05,4.8793866845148124e-05,0.0207861872760331,4.8793866845148124e-05,4.8793866845148124e-05,102471895,22.2,0.49900001,0.451,0.25,0.1862,848.0
Malawi,0.7273181524560389,0.11393863914286972,0.021843158799410258,0.00029517782161365215,0.00029517782161365215,0.015349246723909912,0.00029517782161365215,0.00029517782161365215,16938942,21.9,0.61400002,0.47,0.5,0.1378,1181.0
Ecuador,0.8403360306823294,0.0003087200700522885,0.049395211208366166,0.0003087200700522885,0.0003087200700522885,0.002469760560418308,0.0003087200700522885,0.0003087200700522885,16195902,21.85,0.391,0.743,0.5,0.5727,2274.0
Libya,0.0274537384320847,0.9915644351352945,0.0016149257901226293,0.0008074628950613147,0.0032298515802452587,0.0008074628950613147,0.0008074628950613147,0.0008074628950613147,6192235,21.8,0.167,0.694,0.0,0.2176,56.0
Australia,0.6288770606638826,0.022669800584679347,0.22627819472485494,0.013014144780093698,0.025188667316310386,0.006297166829077596,0.007556600194893116,0.00461792234132357,23820236,21.65,0.12,0.936,0.75,0.8654,534.0
Bolivia,0.841292018952064,0.00045085317200003425,0.03606825376000274,0.00045085317200003425,0.00045085317200003425,0.008115357096000617,0.009017063440000686,0.00045085317200003425,11090085,21.55,0.44600001,0.681,0.5,0.4383,1146.0
Botswana,0.629020580251964,0.002169036483627462,0.17786099165745187,0.002169036483627462,0.002169036483627462,0.052056875607059086,0.004338072967254924,0.002169036483627462,2305171,21.5,0.435,0.706,0.75,0.4141,416.0
Iraq,0.007150837894133328,0.8300268874153278,0.001059383391723456,0.000132422923965432,0.000132422923965432,0.000132422923965432,0.000529691695861728,0.000132422923965432,37757813,21.4,0.52499998,0.668,0.25,0.4936,216.0
Zambia,0.7859317599516994,0.0043081615659059476,0.0043081615659059476,0.0006154516522722782,0.0003077258261361391,0.002461806609089113,0.0073854198272673395,0.0003077258261361391,16248230,21.4,0.52600002,0.583,0.25,0.2785,1020.0
Mexico,0.8981281107548515,4.1614684030898504e-05,0.04436125317693781,4.1614684030898504e-05,4.1614684030898504e-05,0.000582605576432579,0.00016645873612359402,0.000582605576432579,120149897,21.0,0.345,0.767,0.5,0.6385,758.0
Zimbabwe,0.7721687493204668,0.007771140203591157,0.06994026183232041,0.0003532336456177799,0.0003532336456177799,0.033910429979306864,0.002825869164942239,0.0007064672912355598,14154937,21.0,0.54000002,0.529,0.25,0.2706,657.0
Pakistan,0.013035072051100062,0.7935277862089677,9.480052400800044e-05,0.015784287247332073,9.480052400800044e-05,0.00014220078601200067,9.480052400800044e-05,2.370013100200011e-05,210969298,20.2,0.546,0.551,0.25,0.3068,494.0
Namibia,0.9769115925674113,0.0021903847366982316,0.017523077893585853,0.0021903847366982316,0.0021903847366982316,0.0021903847366982316,0.0021903847366982316,0.0021903847366982316,2282704,19.95,0.47400001,0.642,0.5,0.3684,285.0
